Título,Autor,Editora,Páginas,Formato,Peso,Acabamento,Categoria,Edição,Preço
A Luz do Mundo,R. C. Sproul,Editora Fiel,40,23.00 x 28.00 cm,410.00 g.,Capa Dura,Infantil,2014,104.70
Manuel: o índio diplomata,Hugh Stevens,Editora Fiel,113,10.50 x 18.00 cm,98.00 g.,Brochura,Biografia,1993,14.20
"Marcas de um evangelista: Conhecendo, amando e falando o Evangelho",Mack Stiles,Editora Fiel,152,14.00 x 21.00 cm,173.00 g.,Brochura,Evangelismo,2015,40.75
Meditações no Evangelho de João,John Charles Ryle,Editora Fiel,278,14.00 x 21.00 cm,302.00 g.,Brochura,"Doutrina, Devocional",2018,57.10
Meditações no Evangelho de Lucas,John Charles Ryle,Editora Fiel,406,14.00 x 21.00 cm,464.00 g.,Brochura,"Doutrina, Devocional",2018,57.10
Meditações no Evangelho de Marcos,John Charles Ryle,Editora Fiel,230,14.00 x 21.00 cm,257.00 g.,Brochura,"Doutrina, Devocional",2018,57.10
Meditações no Evangelho de Mateus,John Charles Ryle,Editora Fiel,270,16.00 x 21.00 cm,314.00 g.,Brochura,"Doutrina, Devocional",2018,57.10
Memórias de um pastor comum: A vida e ministério de Tom Carson,D. A. Carson,Editora Fiel,240,16.00 x 21.00 cm,278.00 g.,Brochura,Biografia,2013,63.85
"Meu Coração nas Mãos de Deus - A vida de Ann Judson, na Birmânia",Sharon James,Editora Fiel,240,14.00 x 21.00 cm,284.00 g.,Brochura,"Biografia, Vida Cristã",2000,46.50
Ministério de Mulheres: Amando e servindo a igreja por meio da Palavra,Gloria Furman e Kathleen Nielson,Editora Fiel,360,14.00 x 21.00 cm,383.00 g.,Brochura,"Ministério de Mulheres, Igreja",2016,80.50
Ministrando como o Mestre: Aprendendo com os métodos de Jesus,Stuart Olyott,Editora Fiel,72,14.00 x 21.00 cm,100.00 g.,Brochura,"Pregação e Homilética, Ministério",2005,32.40
Mulheres Fiéis e Seu Deus Maravilhoso: Histórias de cinco mulheres de fé,Noël Piper,Editora Fiel,208,14.00 x 21.00 cm,268.00 g.,Brochura,"Vida Cristã, Biografia",2010,61.40
Mulheres Sábias: A sabedoria dos provérbios para mulheres,Lydia Brownback,Editora Fiel,272,14.00 x 21.00 cm,338.00 g.,Brochura,Vida Cristã,2017,67.50
